iter	Passed	Remaining
411	3944	5629
412	3953	5618
413	3962	5609
414	3972	5599
415	3982	5590
416	3992	5581
417	4003	5574
418	4012	5564
419	4023	5556
420	4034	5548
421	4044	5540
422	4054	5530
423	4063	5520
424	4073	5510
425	4082	5500
426	4092	5491
427	4101	5481
428	4108	5468
429	4118	5459
430	4128	5449
431	4137	5439
432	4147	5431
433	4156	5421
434	4166	5411
435	4176	5402
436	4186	5393
437	4198	5386
438	4208	5378
439	4219	5369
440	4229	5361
441	4242	5356
442	4271	5371
443	4282	5362
444	4291	5351
445	4303	5345
446	4313	5336
447	4324	5328
448	4334	5319
449	4345	5310
450	4355	5301
451	4366	5294
452	4376	5284
453	4391	5281
454	4403	5274
455	4413	5264
456	4421	5253
457	4431	5243
458	4441	5234
459	4450	5224
460	4461	5215
461	4472	5208
462	4483	5200
463	4494	5192
464	4506	5184
465	4516	5175
466	4525	5165
467	4535	5155
468	4545	5146
469	4554	5135
470	4564	5126
471	4572	5114
472	4583	5106
473	4592	5096
474	4601	5085
475	4609	5074
476	4619	5065
477	4628	5054
478	4636	5042
479	4645	5033
480	4655	5023
481	4663	5011
482	4675	5004
483	4683	4993
484	4692	4982
485	4700	4970
486	4710	4962
487	4718	4950
488	4726	4938
489	4733	4927
490	4743	4917
491	4751	4905
492	4760	4895
493	4770	4886
494	4780	4876
495	4789	4867
496	4799	4857
497	4807	4845
498	4815	4834
499	4825	4825
500	4833	4814
501	4842	4803
502	4852	4794
503	4859	4782
504	4870	4773
505	4880	4765
506	4890	4755
507	4905	4750
508	4915	4741
509	4928	4734
510	4939	4726
511	4948	4716
512	4958	4707
513	4969	4698
514	4977	4687
515	4988	4679
516	4996	4668
517	5006	4658
518	5017	4650
519	5028	4641
520	5038	4632
521	5050	4624
522	5061	4616
523	5072	4607
524	5083	4599
525	5095	4591
526	5105	4582
527	5115	4572
528	5123	4562
529	5131	4551
530	5142	4541
531	5151	4532
532	5160	4521
533	5170	4512
534	5179	4502
535	5187	4490
536	5197	4480
537	5206	4471
538	5215	4460
539	5224	4450
540	5234	4440
541	5242	4430
542	5251	4419
543	5260	4409
544	5267	4398
545	5277	4388
546	5288	4379
547	5296	4368
548	5304	4358
549	5312	4346
550	5321	4336
551	5330	4326
552	5339	4315
553	5348	4305
554	5359	4297
555	5370	4288
556	5378	4278
557	5387	4267
558	5396	4257
559	5403	4245
560	5415	4237
561	5425	4228
562	5432	4216
563	5461	4221
564	5471	4212
565	5483	4204
566	5492	4194
567	5502	4185
568	5510	4174
569	5520	4164
570	5528	4153
571	5539	4144
572	5546	4133
573	5554	4121
574	5564	4112
575	5574	4103
576	5585	4095
577	5596	4086
578	5606	4076
579	5615	4066
580	5622	4054
581	5633	4045
582	5644	4037
583	5652	4026
584	5663	4017
585	5675	4009
586	5688	4002
587	5705	3997
588	5722	3993
589	5734	3984
590	5746	3976
591	5756	3967
592	5767	3958
593	5778	3949
594	5790	3941
595	5802	3933
596	5814	3925
597	5825	3916
598	5838	3908
599	5847	3898
600	5856	3888
601	5867	3879
602	5877	3869
603	5906	3872
604	5926	3869
605	5941	3862
606	5950	3852
607	5958	3841
608	5968	3832
609	5978	3822
610	5988	3812
611	5997	3802
612	6007	3792
613	6016	3782
614	6027	3773
615	6037	3763
616	6048	3754
617	6058	3744
618	6068	3735
619	6079	3725
620	6085	3714
621	6094	3703
622	6105	3694
623	6114	3684
624	6123	3674
625	6132	3663
626	6142	3654
627	6151	3643
628	6161	3634
629	6170	3624
630	6179	3613
631	6189	3603
632	6199	3594
633	6209	3584
634	6220	3575
635	6228	3564
636	6237	3554
637	6245	3543
638	6256	3534
639	6266	3524
640	6275	3514
641	6284	3504
642	6294	3494
643	6304	3485
644	6314	3475
645	6324	3465
646	6334	3455
647	6342	3445
648	6350	3434
649	6360	3424
650	6367	3413
651	6378	3404
652	6387	3394
653	6399	3385
654	6409	3375
655	6418	3365
656	6427	3355
657	6438	3346
658	6448	3336
659	6457	3326
660	6466	3316
661	6476	3306
662	6487	3297
663	6496	3287
664	6504	3276
665	6513	3266
666	6523	3256
667	6533	3247
668	6543	3237
669	6553	3227
670	6562	3217
671	6572	3207
672	6580	3197
673	6589	3187
674	6598	3176
675	6608	3167
676	6617	3157
677	6627	3147
678	6636	3137
679	6645	3127
680	6655	3117
681	6665	3108
682	6675	3098
683	6685	3088
684	6694	3078
685	6704	3068
686	6715	3059
687	6725	3049
688	6734	3040
689	6743	3029
690	6753	3020
691	6762	3009
692	6770	2999
693	6781	2989
694	6789	2979
695	6796	2968
696	6805	2958
697	6814	2948
698	6826	2939
699	6834	2929
700	6842	2918
701	6852	2908
702	6861	2898
703	6869	2888
704	6877	2877
705	6885	2867
706	6893	2857
707	6902	2846
708	6913	2837
709	6925	2828
710	6932	2817
711	6942	2808
712	6952	2798
713	6961	2788
714	6971	2778
715	6980	2768
716	6989	2758
717	7001	2749
718	7011	2740
719	7023	2731
720	7033	2721
721	7043	2712
722	7055	2703
723	7065	2693
724	7074	2683
725	7086	2674
726	7096	2664
727	7107	2655
728	7119	2646
729	7129	2636
730	7140	2627
731	7148	2617
732	7158	2607
733	7170	2598
734	7179	2588
735	7189	2578
736	7196	2568
737	7207	2558
738	7217	2549
739	7226	2539
740	7235	2528
741	7245	2519
742	7255	2509
743	7265	2499
744	7274	2490
745	7284	2480
746	7293	2470
747	7302	2460
748	7312	2450
749	7322	2440
750	7331	2430
751	7341	2420
752	7350	2411
753	7358	2400
754	7368	2390
755	7376	2380
756	7385	2370
757	7394	2360
758	7405	2351
759	7415	2341
760	7423	2331
761	7432	2321
762	7442	2311
763	7450	2301
764	7457	2291
765	7467	2281
766	7477	2271
767	7486	2261
768	7495	2251
769	7505	2241
770	7513	2231
771	7522	2221
772	7532	2212
773	7542	2202
774	7552	2192
775	7561	2182
776	7570	2172
777	7581	2163
778	7591	2153
779	7601	2144
780	7610	2134
781	7619	2123
782	7629	2114
783	7639	2104
784	7649	2094
785	7658	2085
786	7667	2075
787	7674	2064
788	7685	2055
789	7695	2045
790	7704	2035
791	7715	2026
792	7724	2016
793	7734	2006
794	7745	1997
795	7754	1987
796	7764	1977
797	7773	1967
798	7781	1957
799	7790	1947
800	7799	1937
801	7811	1928
802	7820	1918
803	7831	1909
804	7842	1899
805	7853	1890
806	7863	1880
807	7874	1871
808	7883	1861
809	7891	1851
810	7902	1841
811	7911	1831
812	7921	1821
813	7932	1812
814	7943	1803
815	7954	1793
816	7964	1783
817	7973	1774
818	7983	1764
819	7992	1754
820	8001	1744
821	8011	1734
822	8021	1725
823	8031	1715
824	8041	1705
825	8050	1695
826	8060	1686
827	8071	1676
828	8084	1667
829	8094	1657
830	8104	1648
831	8115	1638
832	8125	1628
833	8135	1619
834	8145	1609
835	8156	1600
836	8165	1590
837	8175	1580
838	8183	1570
839	8192	1560
840	8203	1551
841	8213	1541
842	8221	1531
843	8230	1521
844	8241	1511
845	8252	1502
846	8261	1492
847	8269	1482
848	8279	1472
849	8286	1462
850	8295	1452
851	8305	1442
852	8316	1433
853	8325	1423
854	8336	1413
855	8345	1403
856	8354	1394
857	8362	1383
858	8370	1374
859	8381	1364
860	8390	1354
861	8399	1344
862	8409	1334
863	8419	1325
864	8430	1315
865	8438	1305
866	8447	1295
867	8455	1285
868	8465	1276
869	8475	1266
870	8485	1256
871	8495	1247
872	8505	1237
873	8515	1227
874	8525	1217
875	8536	1208
876	8547	1198
877	8556	1189
878	8567	1179
879	8577	1169
880	8587	1159
881	8597	1150
882	8606	1140
883	8617	1130
884	8628	1121
885	8638	1111
886	8648	1101
887	8658	1092
888	8669	1082
889	8677	1072
890	8687	1062
891	8697	1053
892	8706	1043
893	8717	1033
894	8727	1023
895	8737	1014
896	8748	1004
897	8756	994
898	8767	985
899	8777	975
900	8787	965
901	8797	955
902	8806	946
903	8815	936
904	8826	926
905	8834	916
906	8842	906
907	8851	896
908	8861	887
909	8869	877
910	8877	867
911	8886	857
912	8895	847
913	8904	837
914	8912	827
915	8922	818
916	8930	808
917	8939	798
918	8950	788
919	8960	779
920	8969	769
921	8976	759
922	8988	749
923	8998	740
924	9010	730
925	9019	720
926	9028	710
927	9038	701
928	9048	691
929	9058	681
930	9067	672
931	9075	662
932	9084	652
933	9094	642
934	9104	632
935	9114	623
936	9124	613
937	9133	603
938	9142	593
939	9151	584
940	9162	574
941	9172	564
942	9181	554
943	9191	545
944	9200	535
945	9209	525
946	9220	516
947	9230	506
948	9240	496
949	9248	486
950	9258	477
951	9266	467
952	9275	457
953	9284	447
954	9295	438
955	9306	428
956	9316	418
957	9326	408
958	9336	399
959	9346	389
960	9354	379
961	9363	369
962	9372	360
963	9382	350
964	9392	340
965	9400	330
966	9410	321
967	9420	311
968	9427	301
969	9437	291
970	9446	282
971	9457	272
972	9465	262
973	9476	252
974	9485	243
975	9494	233
976	9504	223
977	9514	214
978	9523	204
979	9534	194
980	9545	184
981	9555	175
982	9563	165
983	9574	155
984	9584	145
985	9594	136
986	9605	126
987	9617	116
988	9628	107
989	9640	97
990	9652	87
991	9663	77
992	9674	68
993	9686	58
994	9695	48
995	9706	38
996	9717	29
997	9726	19
998	9737	9
999	9745	0
