iter	RMSE
157	8328.637703
158	8322.62847
159	8318.509623
160	8313.43736
161	8307.372703
162	8303.522981
163	8300.304545
164	8294.11203
165	8289.089835
166	8284.676388
167	8275.565484
168	8270.510417
169	8268.646523
170	8262.180708
171	8256.895517
172	8250.872313
173	8248.714736
174	8244.260291
175	8240.659244
176	8238.089572
177	8232.189798
178	8225.856766
179	8220.485255
180	8214.759016
181	8209.834231
182	8206.215623
183	8202.384142
184	8197.115258
185	8194.13648
186	8189.296179
187	8186.389682
188	8180.297015
189	8171.794931
190	8167.953008
191	8160.64389
192	8154.408803
193	8148.72664
194	8140.287123
195	8136.509374
196	8133.499029
197	8131.929965
198	8128.641484
199	8124.655832
200	8117.929418
201	8113.949005
202	8106.144584
203	8103.93899
204	8100.470172
205	8093.067595
206	8088.642279
207	8082.831923
208	8079.195821
209	8076.335438
210	8068.511324
211	8059.141369
212	8053.529835
213	8047.609153
214	8044.209178
215	8041.585284
216	8041.300577
217	8036.98321
218	8032.289476
219	8027.836324
220	8021.556246
221	8019.067781
222	8014.405277
223	8008.719306
224	8003.942552
225	8001.531668
226	7992.66792
227	7987.880746
228	7983.732316
229	7982.306911
230	7976.382593
231	7970.805882
232	7969.052705
233	7964.980749
234	7960.965782
235	7958.007626
236	7953.132249
237	7950.210365
238	7948.138624
239	7943.598336
240	7943.490999
241	7939.623762
242	7937.026627
243	7933.344723
244	7929.289246
245	7927.030739
246	7923.796195
247	7919.198554
248	7917.944485
249	7913.187535
250	7910.952596
251	7908.889308
252	7907.520164
253	7902.23325
254	7899.692548
255	7896.546361
256	7896.070904
257	7891.616047
258	7887.145101
259	7881.573344
260	7877.142014
261	7875.11826
262	7872.835469
263	7867.616392
264	7864.084134
265	7859.98746
266	7856.836039
267	7849.483733
268	7846.703345
269	7843.781222
270	7841.731759
271	7837.400066
272	7835.65469
273	7833.055833
274	7828.52547
275	7827.684841
276	7821.807636
277	7820.723467
278	7816.311329
279	7812.917925
280	7809.444981
281	7805.199766
282	7803.431838
283	7801.266788
284	7798.634025
285	7794.008692
286	7788.807407
287	7784.193453
288	7781.757379
289	7779.193469
290	7775.320902
291	7773.288665
292	7769.302946
293	7764.240319
294	7764.078728
295	7760.258331
296	7756.676719
297	7754.081141
298	7751.144137
299	7747.648742
300	7745.888657
301	7744.274432
302	7742.19527
303	7735.531783
304	7733.542002
305	7727.879149
306	7724.242261
307	7722.147351
308	7719.1208
309	7716.344134
310	7712.844864
311	7708.899104
312	7703.930342
313	7699.938491
314	7696.523274
315	7694.400589
316	7689.439466
317	7686.379739
318	7686.200468
319	7683.340219
320	7681.991076
321	7679.144098
322	7676.741281
323	7672.682699
324	7671.28211
325	7670.284631
326	7665.041791
327	7660.276998
328	7658.711976
329	7654.459085
330	7652.053229
331	7647.229445
332	7643.768932
333	7639.715491
334	7635.483689
335	7631.181251
336	7628.391856
337	7627.406996
338	7625.84638
339	7623.450635
340	7619.604516
341	7615.874225
342	7610.40404
343	7610.270869
344	7609.783284
345	7603.558176
346	7603.234527
347	7599.96068
348	7596.40675
349	7590.606506
350	7587.980527
351	7584.708849
352	7581.765733
353	7580.038434
354	7577.776271
355	7572.893498
356	7569.201455
357	7565.858578
358	7564.781223
359	7564.732565
360	7562.692436
361	7559.527893
362	7556.424056
363	7553.916562
364	7550.689355
365	7546.094456
366	7543.146499
367	7537.826572
368	7535.965095
369	7529.4808
370	7527.717826
371	7524.058463
372	7523.266758
373	7520.684628
374	7517.83107
375	7515.563972
376	7513.29285
377	7511.075761
378	7508.90236
379	7506.966816
380	7501.261855
381	7498.993503
382	7495.96827
383	7493.768921
384	7491.285472
385	7489.191633
386	7486.684117
387	7483.037084
388	7480.839097
389	7478.155519
390	7477.963499
391	7472.244908
392	7468.835674
393	7464.254602
394	7461.875302
395	7459.246125
396	7455.902819
397	7450.629534
398	7450.027049
399	7447.88742
400	7445.225191
401	7442.688652
402	7441.025293
403	7438.463526
404	7435.972565
405	7431.508135
406	7429.281816
407	7427.627901
408	7423.499655
409	7423.480937
410	7418.391095
411	7417.66924
412	7413.154895
413	7410.985984
414	7406.555546
415	7404.994455
416	7404.772216
417	7401.353592
418	7398.978438
419	7395.917075
420	7394.067348
421	7391.089273
422	7389.478752
423	7384.104313
424	7382.188723
425	7377.724625
426	7377.526413
427	7374.171456
428	7373.961659
429	7370.91229
430	7370.452989
431	7369.936793
432	7367.734838
433	7364.167351
434	7363.309967
435	7362.314087
436	7357.909936
437	7355.737477
438	7355.277224
439	7349.459206
440	7344.988383
441	7340.401537
442	7337.143163
443	7334.190189
444	7332.800705
445	7330.049481
446	7326.964448
447	7323.956569
448	7318.479261
449	7315.179957
450	7314.479573
451	7313.664704
452	7309.757491
453	7305.786694
454	7304.289494
455	7302.891572
456	7297.389327
457	7293.797979
458	7291.785483
459	7286.707921
460	7281.833481
461	7278.013642
462	7276.483037
463	7272.442955
464	7267.16145
465	7263.677277
466	7261.241068
467	7256.784489
468	7254.214937
469	7249.678563
470	7245.991143
471	7242.587516
472	7238.981788
473	7235.346182
474	7235.089499
475	7230.186412
476	7227.809345
477	7225.151771
478	7223.877468
479	7220.90203
480	7217.055159
481	7215.296509
482	7213.818496
483	7213.701284
484	7210.237894
485	7208.345004
486	7206.528721
487	7206.281803
488	7205.335346
489	7200.831553
490	7197.85216
491	7192.368923
492	7191.702517
493	7188.596853
494	7186.236534
495	7181.797844
496	7179.197365
497	7179.007229
498	7177.059137
499	7174.737394
500	7173.072856
501	7168.72162
502	7167.081109
503	7164.121038
504	7162.427482
505	7160.312176
506	7155.772698
507	7153.053228
508	7150.331975
509	7148.806568
510	7146.340339
511	7143.726687
512	7139.724351
513	7136.853149
514	7134.791627
515	7133.504762
516	7129.678317
517	7128.761266
518	7127.912586
519	7125.306959
520	7119.443975
521	7116.058402
522	7114.192589
523	7111.409722
524	7107.764868
525	7105.443605
526	7099.004654
527	7096.450828
528	7094.476843
529	7091.23259
530	7088.093891
531	7087.57899
532	7086.083337
533	7082.121424
534	7080.245566
535	7078.453616
536	7078.113004
537	7073.826129
538	7071.571942
539	7067.864337
540	7066.202996
541	7065.709006
542	7062.720206
543	7059.739788
544	7058.535267
545	7055.026272
546	7052.919258
547	7048.949567
548	7047.024357
549	7045.502041
550	7041.173537
551	7038.092621
552	7034.937344
553	7032.865894
554	7029.778446
555	7027.781282
556	7024.504138
557	7022.041921
558	7019.926413
559	7017.466044
560	7013.737771
561	7010.223149
562	7009.578852
563	7006.674022
564	7004.805948
565	6999.920948
566	6998.782676
567	6997.582737
568	6995.681092
569	6993.764459
570	6993.733562
571	6992.277061
572	6990.057638
573	6989.217467
574	6988.512556
575	6985.906834
576	6982.876516
577	6980.978309
578	6980.106921
579	6977.512802
580	6976.423948
581	6973.900543
582	6970.519711
583	6968.471788
584	6964.511553
585	6962.850004
586	6960.640273
587	6958.046954
588	6955.946518
589	6950.473891
590	6948.259548
591	6946.613281
592	6944.455366
593	6943.283372
594	6941.080243
595	6939.874689
596	6938.171641
597	6937.346236
598	6935.866035
599	6935.563629
600	6933.648718
601	6931.216686
602	6930.815331
603	6929.123433
604	6925.247399
605	6923.442871
606	6921.443992
607	6917.865255
608	6915.334788
609	6914.171319
610	6911.421375
611	6909.347808
612	6905.313873
613	6901.211211
614	6897.808217
615	6892.608861
616	6890.996759
617	6886.870315
618	6883.593258
619	6880.548143
620	6876.974543
621	6871.382845
622	6867.227256
623	6864.346948
624	6862.191509
625	6860.728389
626	6858.687659
627	6856.251349
628	6851.319013
629	6848.357865
630	6846.421676
631	6843.146274
632	6842.261833
633	6841.139173
634	6837.850201
635	6837.575038
636	6835.305163
637	6834.507185
638	6832.43682
639	6830.29767
640	6827.098051
641	6824.579558
642	6823.380008
643	6821.306035
644	6817.335824
645	6814.67574
646	6814.098694
647	6812.609535
648	6810.780797
649	6808.084873
650	6807.30605
651	6804.049936
652	6802.633875
653	6799.855097
654	6798.687541
655	6797.466299
656	6795.379117
657	6792.790583
658	6790.57028
659	6786.310142
660	6782.241971
661	6779.580536
662	6778.001302
663	6774.839043
664	6773.199502
665	6772.088036
666	6769.568841
667	6765.134866
668	6762.044462
669	6760.472119
670	6758.631406
671	6758.052241
672	6755.304088
673	6752.788952
674	6747.583426
675	6745.800036
676	6742.924803
677	6741.188329
678	6736.604289
679	6733.065079
680	6729.391776
681	6728.250956
682	6727.239474
683	6724.992398
684	6723.449452
685	6721.424174
686	6720.106482
687	6718.866813
688	6715.361529
689	6712.584218
690	6710.554406
691	6708.733801
692	6707.380948
693	6704.917907
694	6703.393891
695	6700.498924
696	6697.203651
697	6694.228807
698	6692.489674
699	6690.305736
700	6689.217298
701	6684.792109
702	6681.22826
703	6679.601601
704	6676.321511
705	6675.016952
706	6673.405669
707	6671.605552
708	6669.275418
709	6665.873848
710	6664.648875
711	6660.616064
712	6658.01457
713	6655.44616
714	6651.988007
715	6650.682148
716	6650.020212
717	6645.270103
718	6641.658636
719	6639.313032
720	6636.086523
721	6634.156107
722	6629.373753
723	6625.047785
724	6623.842828
725	6622.572748
726	6621.47835
727	6618.110844
728	6615.798735
729	6613.49076
730	6610.320189
731	6608.880498
732	6607.637334
733	6602.525884
734	6600.160648
735	6599.161387
736	6596.227657
737	6593.822823
738	6592.496276
739	6589.35042
740	6588.039384
741	6586.6214
742	6584.119638
743	6582.767961
744	6580.860046
745	6578.728988
746	6575.68333
747	6572.636155
748	6570.536524
749	6569.217181
750	6568.120978
751	6563.449718
752	6559.75719
753	6558.05209
754	6555.583202
755	6553.078995
756	6551.984748
757	6549.496118
758	6547.586601
759	6546.21105
760	6543.595779
761	6539.692926
762	6536.865651
763	6535.704263
764	6534.932212
765	6532.985712
766	6531.444286
767	6530.545837
768	6528.031723
769	6525.940425
770	6523.877965
771	6522.45043
772	6519.451097
773	6514.689315
774	6513.894544
775	6511.886482
776	6507.967111
777	6506.112338
778	6504.521174
779	6502.59808
780	6501.146686
781	6498.38742
782	6496.687939
783	6495.246824
784	6493.125927
785	6489.075305
786	6488.199665
787	6487.562322
788	6485.614016
789	6484.26424
790	6481.210664
791	6478.991665
792	6477.633857
793	6476.532636
794	6474.928057
795	6471.582451
796	6470.144476
797	6468.044474
798	6466.392515
799	6465.386925
800	6462.450469
801	6460.647199
802	6459.060619
803	6457.713575
804	6454.315729
805	6452.063966
806	6450.627896
807	6450.223516
808	6447.982956
809	6445.038525
810	6443.165346
811	6441.663442
812	6439.978598
813	6434.322828
814	6432.291665
815	6427.579171
816	6425.528382
817	6422.854226
818	6420.279095
819	6419.646382
820	6418.510838
821	6416.937569
822	6413.495057
823	6410.205243
824	6407.924808
825	6406.19963
826	6403.091357
827	6401.05116
828	6399.711016
829	6399.056527
830	6396.933593
831	6396.065855
832	6394.223825
833	6391.120713
834	6387.945797
835	6385.989202
836	6385.307733
837	6383.786593
838	6382.39464
839	6381.01544
840	6378.03841
841	6377.208184
842	6375.239728
843	6371.776952
844	6370.734583
845	6366.995474
846	6366.219293
847	6365.173956
848	6363.99929
849	6362.564654
850	6360.721991
851	6358.579172
852	6356.164412
853	6355.216145
854	6354.626831
855	6352.529249
856	6349.737768
857	6348.968244
858	6346.592924
859	6345.498398
860	6341.230146
861	6339.27022
862	6338.884682
863	6335.324488
864	6334.942642
865	6332.352337
866	6329.268137
867	6327.498089
868	6325.329234
869	6323.868015
870	6321.296956
871	6319.317497
872	6315.246982
873	6313.759229
874	6311.816869
875	6309.10044
876	6307.213929
877	6307.059219
878	6304.96798
879	6304.499246
880	6301.3139
881	6297.345011
882	6294.70845
883	6291.670164
884	6289.426149
885	6286.450777
886	6283.370174
887	6282.214334
888	6280.860009
889	6280.124603
890	6278.639955
891	6276.039497
892	6275.650352
893	6273.980953
894	6272.046044
895	6271.497079
896	6270.45447
897	6267.825676
898	6264.184291
899	6262.070464
900	6260.808508
901	6258.744708
902	6256.066688
903	6255.251441
904	6253.163114
905	6251.491479
906	6250.68266
907	6249.509726
908	6248.584153
909	6246.919099
910	6246.661815
911	6244.685451
912	6243.280001
913	6241.293292
914	6239.063845
915	6236.147086
916	6235.53774
917	6233.63899
918	6229.950227
919	6227.438152
920	6224.001092
921	6222.057837
922	6219.483822
923	6217.872043
924	6215.774384
925	6213.684724
926	6212.46436
927	6209.010104
928	6207.542377
929	6206.296441
930	6205.709169
931	6203.007056
932	6201.809248
933	6200.597395
934	6198.602976
935	6195.794817
936	6193.749382
937	6188.615807
938	6187.192153
939	6185.484918
940	6182.525972
941	6181.085998
942	6176.985169
943	6176.10553
944	6173.856053
945	6173.522466
946	6170.410052
947	6168.209607
948	6165.018778
949	6162.018756
950	6159.879839
951	6157.688673
952	6155.778658
953	6152.796415
954	6149.527231
955	6147.010578
956	6144.007459
957	6141.449661
958	6138.771616
959	6136.271042
960	6133.007258
961	6130.995997
962	6128.815767
963	6125.898731
964	6124.162158
965	6123.863761
966	6122.050211
967	6121.579986
968	6119.22843
969	6117.795873
970	6117.304593
971	6110.55843
972	6108.754156
973	6107.435255
974	6105.444366
975	6104.44567
976	6102.208034
977	6100.375555
978	6099.23565
979	6098.38621
980	6096.779464
981	6096.179924
982	6094.135891
983	6092.984503
984	6090.52062
985	6089.081382
986	6087.089445
987	6085.679189
988	6083.46391
989	6082.031381
990	6079.809485
991	6078.815396
992	6077.743697
993	6074.980892
994	6072.752018
995	6071.617989
996	6069.615701
997	6069.230651
998	6066.7699
999	6063.045515
